"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","poutcome","duration","campaign","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","prediction"
"105",52,"admin.","divorced","university.degree","no","no","no","telephone","may","mon","nonexistent",190,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.33656875955707
"109",42,"entrepreneur","married","unknown","unknown","yes","no","telephone","may","mon","nonexistent",293,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.45752127929199
"120",48,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","mon","nonexistent",178,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.17664631552213
"125",32,"admin.","married","university.degree","no","yes","yes","telephone","may","mon","nonexistent",175,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.51326575903416
"129",56,"retired","married","basic.4y","no","yes","no","telephone","may","mon","nonexistent",102,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.76285881002376
"133",35,"blue-collar","married","unknown","no","yes","no","telephone","may","mon","nonexistent",267,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.25785213165408
"137",39,"housemaid","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",69,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.7607948723938
"140",45,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon","nonexistent",461,1,999,0,1.1,93.994,-36.4,4.857,5191,1,-3.90133403817259
"141",43,"unemployed","single","university.degree","no","yes","no","telephone","may","mon","nonexistent",240,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.04151024221368
"142",56,"management","married","unknown","no","yes","no","telephone","may","mon","nonexistent",70,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.99865026592371
"143",39,"management","married","university.degree","no","yes","no","telephone","may","mon","nonexistent",193,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.37617442621336
"155",40,"blue-collar","married","unknown","no","yes","yes","telephone","may","mon","nonexistent",155,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.83631590798409
"159",43,"technician","single","professional.course","no","yes","no","telephone","may","mon","nonexistent",186,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.47205340724008
"162",37,"blue-collar","single","basic.9y","unknown","yes","yes","telephone","may","mon","nonexistent",163,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.35812838691822
"163",40,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon","nonexistent",46,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.85448202798596
"180",37,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon","nonexistent",270,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.44344809341796
"181",34,"technician","married","high.school","no","no","no","telephone","may","mon","nonexistent",228,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.32520358471054
"189",49,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",252,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.86108817314604
"191",41,"technician","married","professional.course","no","no","no","telephone","may","mon","nonexistent",412,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.44248100819402
"194",42,"technician","married","university.degree","no","no","no","telephone","may","mon","nonexistent",228,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.19005952098237
"196",48,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon","nonexistent",717,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-2.31279750730391
"206",35,"student","single","university.degree","unknown","no","no","telephone","may","mon","nonexistent",218,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.2644885684584
"209",36,"services","single","basic.4y","no","no","no","telephone","may","mon","nonexistent",291,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.17624195347357
"210",35,"student","single","university.degree","unknown","yes","no","telephone","may","mon","nonexistent",248,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.11394446149179
"211",36,"student","single","basic.9y","no","yes","no","telephone","may","mon","nonexistent",256,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.97218790097633
"214",57,"retired","married","unknown","unknown","no","no","telephone","may","mon","nonexistent",611,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-2.5978750029825
"215",39,"blue-collar","married","professional.course","unknown","yes","no","telephone","may","mon","nonexistent",471,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.74719000804398
"220",40,"services","married","high.school","no","no","no","telephone","may","mon","nonexistent",322,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.07996088168982
"229",43,"retired","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",410,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.77445251553473
"230",45,"blue-collar","married","basic.4y","no","yes","yes","telephone","may","mon","nonexistent",177,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.89917905093017
"236",44,"admin.","married","professional.course","no","yes","no","telephone","may","mon","nonexistent",300,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.99819517767067
"237",56,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon","nonexistent",136,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.01844101669879
"240",43,"management","married","university.degree","unknown","no","yes","telephone","may","mon","nonexistent",213,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.81029880988921
"242",36,"technician","single","professional.course","no","no","no","telephone","may","mon","nonexistent",124,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.73983804887811
"243",34,"management","married","university.degree","no","yes","no","telephone","may","mon","nonexistent",18,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.19999015212232
"249",36,"blue-collar","single","high.school","no","no","yes","telephone","may","mon","nonexistent",389,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.79826511061935
"257",58,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon","nonexistent",179,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.2378241287696
"259",43,"technician","married","unknown","no","yes","no","telephone","may","mon","nonexistent",200,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.34181094904124
"263",42,"technician","married","high.school","no","no","no","telephone","may","mon","nonexistent",361,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.69225013311273
"265",42,"admin.","married","university.degree","no","no","no","telephone","may","mon","nonexistent",67,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.98977017822502
"270",40,"self-employed","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",58,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.81814358933695
"271",52,"unemployed","married","high.school","unknown","yes","no","telephone","may","mon","nonexistent",151,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.03209285107248
"273",49,"housemaid","married","basic.9y","unknown","no","no","telephone","may","mon","nonexistent",152,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.33285522258995
"278",55,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon","nonexistent",102,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.59376249351291
"280",51,"retired","married","professional.course","no","no","no","telephone","may","mon","nonexistent",118,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.65172869301605
"288",37,"admin.","single","high.school","no","yes","yes","telephone","may","mon","nonexistent",56,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.21536457286611
"291",42,"management","divorced","university.degree","no","yes","no","telephone","may","mon","nonexistent",125,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.7112879140194
"300",38,"unknown","married","unknown","unknown","no","no","telephone","may","mon","nonexistent",362,4,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.37773131395797
"302",50,"blue-collar","divorced","high.school","unknown","no","yes","telephone","may","mon","nonexistent",200,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.10442589253523
"304",43,"unknown","married","unknown","no","yes","no","telephone","may","mon","nonexistent",267,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.3430904123831
"305",42,"admin.","married","high.school","no","yes","no","telephone","may","mon","nonexistent",248,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.30085119235829
"308",57,"housemaid","divorced","basic.4y","no","yes","yes","telephone","may","mon","nonexistent",205,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.75927469319438
"314",58,"blue-collar","married","professional.course","unknown","yes","no","telephone","may","mon","nonexistent",214,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.95736698485268
"320",43,"services","married","high.school","no","yes","no","telephone","may","mon","nonexistent",241,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.39855023532115
"321",54,"management","single","basic.9y","no","yes","no","telephone","may","mon","nonexistent",224,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.50978219109091
"323",42,"technician","single","unknown","no","no","no","telephone","may","mon","nonexistent",230,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.20452378770479
"326",40,"housemaid","single","professional.course","no","no","no","telephone","may","mon","nonexistent",111,4,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.12627563242742
"327",26,"admin.","single","university.degree","no","yes","no","telephone","may","mon","nonexistent",231,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.23096528541668
"328",33,"admin.","married","high.school","no","no","no","telephone","may","mon","nonexistent",316,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.05264420069027
"334",50,"self-employed","single","university.degree","no","no","yes","telephone","may","mon","nonexistent",88,5,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.13774618484657
"344",57,"unknown","married","unknown","unknown","yes","no","telephone","may","mon","nonexistent",325,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.42180203644948
"350",57,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon","nonexistent",164,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.92963478012197
"351",48,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","mon","nonexistent",174,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.22726502650223
"358",32,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon","nonexistent",98,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.29661176807769
"361",40,"unemployed","divorced","high.school","unknown","no","no","telephone","may","tue","nonexistent",88,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.18516796444779
"366",36,"technician","married","university.degree","no","no","no","telephone","may","tue","nonexistent",210,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.00315718216876
"374",22,"blue-collar","single","basic.9y","no","yes","no","telephone","may","tue","nonexistent",195,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.51637637472836
"378",38,"admin.","single","university.degree","no","no","no","telephone","may","tue","nonexistent",189,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.09393889849141
"380",49,"admin.","married","university.degree","no","yes","yes","telephone","may","tue","nonexistent",18,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.98002752798131
"382",33,"admin.","married","basic.9y","no","yes","no","telephone","may","tue","nonexistent",235,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.19917029976678
"385",59,"management","married","basic.4y","unknown","yes","yes","telephone","may","tue","nonexistent",318,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.21064688888719
"395",45,"admin.","married","basic.9y","no","no","no","telephone","may","tue","nonexistent",243,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.15301893098174
"396",36,"technician","married","professional.course","no","no","no","telephone","may","tue","nonexistent",769,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-1.59277216257046
"401",52,"services","single","high.school","no","no","no","telephone","may","tue","nonexistent",455,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.06342053833517
"411",41,"admin.","married","high.school","no","no","no","telephone","may","tue","nonexistent",483,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-2.93730046817716
"413",30,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue","nonexistent",227,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.418030576639
"415",45,"entrepreneur","married","basic.4y","unknown","yes","no","telephone","may","tue","nonexistent",576,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.06989559743118
"418",47,"admin.","married","high.school","unknown","no","no","telephone","may","tue","nonexistent",505,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.19685863325579
"423",49,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue","nonexistent",180,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.95941414009916
"424",39,"management","married","university.degree","unknown","no","no","telephone","may","tue","nonexistent",496,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.1959314903635
"425",38,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue","nonexistent",118,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.25562210640469
"433",30,"self-employed","single","university.degree","no","yes","no","telephone","may","tue","nonexistent",262,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.87348532457366
"438",35,"blue-collar","married","professional.course","no","no","no","telephone","may","tue","nonexistent",241,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.22729331995512
"439",47,"admin.","divorced","university.degree","no","no","no","telephone","may","tue","nonexistent",196,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.0795037681083
"445",34,"admin.","married","basic.9y","no","no","no","telephone","may","tue","nonexistent",175,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.48790950060378
"453",60,"management","married","university.degree","no","no","no","telephone","may","tue","nonexistent",451,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-2.95618508255441
"474",29,"admin.","married","university.degree","unknown","yes","no","telephone","may","tue","nonexistent",379,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.63736602757509
"475",57,"blue-collar","divorced","basic.4y","no","no","no","telephone","may","tue","nonexistent",30,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.29667357933803
"479",57,"retired","married","university.degree","no","no","no","telephone","may","tue","nonexistent",116,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.17561475387938
"488",35,"technician","married","professional.course","no","yes","no","telephone","may","tue","nonexistent",278,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.82885601299193
"492",41,"unemployed","married","basic.9y","unknown","no","no","telephone","may","tue","nonexistent",111,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.15689822228972
"495",32,"admin.","single","university.degree","unknown","unknown","unknown","telephone","may","tue","nonexistent",49,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.20559183234527
"504",51,"services","divorced","high.school","unknown","yes","no","telephone","may","tue","nonexistent",568,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-2.9324196539259
"507",40,"technician","single","university.degree","no","no","no","telephone","may","tue","nonexistent",198,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.08608213306214
"511",48,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue","nonexistent",128,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.83152392612234
"514",50,"services","married","basic.9y","no","yes","yes","telephone","may","tue","nonexistent",369,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.67817679213521
"518",52,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue","nonexistent",371,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.73572969560413
"519",42,"blue-collar","married","unknown","unknown","no","no","telephone","may","tue","nonexistent",288,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.33722872714008
"521",40,"management","married","basic.9y","unknown","unknown","unknown","telephone","may","tue","nonexistent",427,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.77573942905362
"523",39,"blue-collar","married","basic.6y","no","yes","no","telephone","may","tue","nonexistent",158,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.60999979777238
"528",38,"admin.","divorced","high.school","no","yes","yes","telephone","may","tue","nonexistent",179,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.43606124971466
"529",39,"technician","divorced","university.degree","no","no","no","telephone","may","tue","nonexistent",73,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.61654185626161
"535",41,"technician","married","high.school","no","no","no","telephone","may","tue","nonexistent",358,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.47060606276411
"543",57,"technician","married","professional.course","unknown","no","yes","telephone","may","tue","nonexistent",289,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.18889504466375
"546",43,"admin.","married","professional.course","no","yes","yes","telephone","may","tue","nonexistent",161,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.51836595246993
"548",35,"admin.","divorced","high.school","no","no","yes","telephone","may","tue","nonexistent",259,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.07880215536172
"549",34,"admin.","single","university.degree","no","yes","yes","telephone","may","tue","nonexistent",26,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.91407721390305
"572",36,"technician","married","professional.course","no","unknown","unknown","telephone","may","tue","nonexistent",155,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.53201048844894
"574",56,"retired","married","basic.4y","unknown","yes","yes","telephone","may","tue","nonexistent",316,4,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.05132074389601
"582",30,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue","nonexistent",112,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.97880104105473
"588",59,"blue-collar","married","basic.4y","no","yes","no","telephone","may","tue","nonexistent",424,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.46656248112784
"592",33,"technician","married","professional.course","no","yes","no","telephone","may","tue","nonexistent",219,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.15044308422289
"594",34,"services","single","high.school","no","unknown","unknown","telephone","may","tue","nonexistent",147,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.64912747184137
"596",57,"technician","married","professional.course","no","yes","no","telephone","may","tue","nonexistent",402,4,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.34499753569386
"600",34,"services","married","high.school","no","no","no","telephone","may","tue","nonexistent",193,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.36708736055058
"606",32,"admin.","single","university.degree","no","no","no","telephone","may","tue","nonexistent",389,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.17155041556065
"609",37,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue","nonexistent",258,5,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.80733143898487
"610",50,"services","married","high.school","no","no","no","telephone","may","tue","nonexistent",87,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.83503376393053
"629",58,"admin.","married","unknown","unknown","yes","no","telephone","may","tue","nonexistent",328,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.94800656473654
"632",30,"admin.","single","university.degree","no","no","no","telephone","may","tue","nonexistent",246,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.84132211285978
"634",55,"management","single","basic.4y","no","no","no","telephone","may","tue","nonexistent",293,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.85478278178348
"642",29,"admin.","married","high.school","no","yes","no","telephone","may","tue","nonexistent",29,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.14887271987285
"646",30,"management","single","university.degree","no","yes","no","telephone","may","tue","nonexistent",312,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.63247667301788
"650",33,"blue-collar","married","high.school","no","no","no","telephone","may","tue","nonexistent",328,1,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.8387541559625
"656",33,"services","married","high.school","no","no","no","telephone","may","tue","nonexistent",322,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.81079420083079
"659",39,"management","divorced","university.degree","unknown","yes","no","telephone","may","tue","nonexistent",205,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.47794163917612
"661",59,"retired","divorced","basic.4y","unknown","no","no","telephone","may","tue","nonexistent",273,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.0860347949256
"662",42,"admin.","single","unknown","no","yes","no","telephone","may","tue","nonexistent",339,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.54114739419051
"670",54,"admin.","married","high.school","no","no","no","telephone","may","tue","nonexistent",65,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.95100304949812
"673",44,"admin.","married","high.school","no","yes","no","telephone","may","tue","nonexistent",221,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.18617326858327
"676",43,"admin.","married","professional.course","no","no","yes","telephone","may","tue","nonexistent",221,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.24942942074889
"680",39,"management","divorced","university.degree","unknown","yes","no","telephone","may","tue","nonexistent",378,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.71493727040581
"695",53,"admin.","married","university.degree","unknown","yes","no","telephone","may","tue","nonexistent",13,6,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.52074428516178
"697",42,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue","nonexistent",114,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.32178641168885
"701",51,"self-employed","married","basic.9y","no","yes","no","telephone","may","tue","nonexistent",144,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.75472510357286
"708",43,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","tue","nonexistent",593,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.1414705760012
"711",36,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue","nonexistent",285,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.1705213046348
"728",48,"entrepreneur","married","university.degree","no","yes","no","telephone","may","tue","nonexistent",222,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.13591169163265
"732",48,"blue-collar","married","professional.course","unknown","no","no","telephone","may","tue","nonexistent",207,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.8231004337862
"736",49,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue","nonexistent",42,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.6785618320969
"739",47,"unemployed","divorced","university.degree","no","no","no","telephone","may","tue","nonexistent",303,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-3.63434382192903
"744",44,"technician","single","professional.course","no","yes","yes","telephone","may","tue","nonexistent",139,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.5168275432895
"753",60,"blue-collar","married","professional.course","no","no","no","telephone","may","tue","nonexistent",59,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-5.12144302041155
"754",36,"admin.","married","university.degree","no","yes","no","telephone","may","tue","nonexistent",166,3,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.3334870551275
"756",39,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","tue","nonexistent",216,2,999,0,1.1,93.994,-36.4,4.857,5191,0,-4.85911636146295
"757",30,"services","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",51,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.87129109032271
"764",30,"technician","married","university.degree","unknown","no","no","telephone","may","wed","nonexistent",118,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.82560591726708
"769",38,"technician","married","unknown","unknown","unknown","unknown","telephone","may","wed","nonexistent",162,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.71851575276646
"781",43,"technician","married","basic.6y","no","yes","no","telephone","may","wed","nonexistent",261,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.92010043978323
"782",30,"services","married","high.school","unknown","yes","no","telephone","may","wed","nonexistent",502,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.21987473329373
"785",35,"blue-collar","single","basic.6y","no","yes","no","telephone","may","wed","nonexistent",198,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.38891816892332
"787",38,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed","nonexistent",275,6,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.31249496589491
"788",58,"admin.","married","basic.4y","unknown","no","yes","telephone","may","wed","nonexistent",120,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.09166002057965
"792",44,"management","single","university.degree","unknown","yes","yes","telephone","may","wed","nonexistent",91,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.91482508398793
"795",28,"unknown","single","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",298,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.38938684791348
