,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,socioprediction,exp(u),1+exp(u),p,totp
288,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
291,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
300,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
302,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
304,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
305,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
308,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
314,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
320,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
321,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
323,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
326,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
327,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
328,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
334,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
344,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
350,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
351,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
358,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
361,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
366,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
374,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
378,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
380,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
382,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
385,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
395,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
396,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
401,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
411,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
413,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
415,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
418,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
423,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
424,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
425,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
433,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
438,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
439,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
445,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
453,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
474,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
475,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
479,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
488,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
492,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
495,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
504,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
507,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
511,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
514,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
518,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
519,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
521,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
523,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
528,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
529,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
535,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
543,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
546,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
548,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
549,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
572,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
574,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
582,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
588,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
592,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
594,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
596,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
600,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
606,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
609,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
610,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
629,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
632,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
634,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
642,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
646,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
650,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
656,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
659,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
661,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
662,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
670,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
673,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
676,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
680,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
695,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
697,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
701,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
708,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
711,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
728,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
732,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
736,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
739,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
744,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
753,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
754,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
756,1.1,93.994,-36.4,4.857,5191,0,-2.65012634,0.070642288,1.070642288,7%,0
757,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
764,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
769,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
781,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
782,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
785,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
787,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
788,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
792,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
795,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
796,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
797,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
798,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
802,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
807,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
813,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
817,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
819,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
824,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
828,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
829,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
830,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
838,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
840,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
845,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
847,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
854,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
857,1.1,93.994,-36.4,4.856,5191,1,-2.650205985,0.070636661,1.070636661,7%,0
859,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
874,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
878,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
882,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
892,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
896,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
901,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
905,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
910,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
913,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
921,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
926,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
927,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
929,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
947,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
949,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
955,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
958,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
965,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
966,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
969,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
970,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
971,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
972,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
974,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
977,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
994,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
996,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1001,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1006,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1007,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1008,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1010,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1011,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1012,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1014,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1021,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1022,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1023,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1025,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1029,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1046,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1053,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1056,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1065,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1068,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1069,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1070,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1072,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1082,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1087,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1088,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1089,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1095,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1103,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1104,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1114,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1132,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1138,1.1,93.994,-36.4,4.856,5191,0,-2.650205985,0.070636661,1.070636661,7%,0
1147,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1149,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1150,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1153,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1155,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1163,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1164,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1167,1.1,93.994,-36.4,4.855,5191,1,-2.65028563,0.070631036,1.070631036,7%,0
1168,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1179,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1180,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1183,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1185,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1186,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1190,1.1,93.994,-36.4,4.855,5191,1,-2.65028563,0.070631036,1.070631036,7%,0
1192,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1200,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1205,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1207,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1209,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1212,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1213,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1216,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1220,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1222,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1223,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1228,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1229,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1230,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1232,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1235,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1245,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1247,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1248,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
1253,1.1,93.994,-36.4,4.855,5191,0,-2.65028563,0.070631036,1.070631036,7%,0
