"","contact","month","day_of_week","poutcome","duration","campaign","pdays","previous","y","mprediction"
"143","telephone","may","mon","nonexistent",193,1,999,0,0,-4.29646958685691
"155","telephone","may","mon","nonexistent",155,1,999,0,0,-4.4553757891441
"159","telephone","may","mon","nonexistent",186,2,999,0,0,-4.40320196013204
"162","telephone","may","mon","nonexistent",163,2,999,0,0,-4.49938202993745
"163","telephone","may","mon","nonexistent",46,1,999,0,0,-4.91118568517841
"180","telephone","may","mon","nonexistent",270,1,999,0,0,-3.97447544011708
"181","telephone","may","mon","nonexistent",228,1,999,0,0,-4.15010861106608
"189","telephone","may","mon","nonexistent",252,1,999,0,0,-4.04974679909522
"191","telephone","may","mon","nonexistent",412,1,999,0,0,-3.38066805262285
"194","telephone","may","mon","nonexistent",228,2,999,0,0,-4.22756878918304
"196","telephone","may","mon","nonexistent",717,1,999,0,0,-2.10523669215988
"206","telephone","may","mon","nonexistent",218,1,999,0,0,-4.1919260327206
"209","telephone","may","mon","nonexistent",291,1,999,0,0,-3.88665885464258
"210","telephone","may","mon","nonexistent",248,1,999,0,0,-4.06647376775703
"211","telephone","may","mon","nonexistent",256,1,999,0,0,-4.03301983043341
"214","telephone","may","mon","nonexistent",611,2,999,0,0,-2.62596153981479
"215","telephone","may","mon","nonexistent",471,1,999,0,0,-3.13394526486116
"220","telephone","may","mon","nonexistent",322,3,999,0,0,-3.91194520374749
"229","telephone","may","mon","nonexistent",410,3,999,0,0,-3.54395189318768
"230","telephone","may","mon","nonexistent",177,1,999,0,0,-4.36337746150415
"236","telephone","may","mon","nonexistent",300,1,999,0,0,-3.84902317515351
"237","telephone","may","mon","nonexistent",136,1,999,0,0,-4.5348288902877
"240","telephone","may","mon","nonexistent",213,3,999,0,0,-4.36775509978179
"242","telephone","may","mon","nonexistent",124,1,999,0,0,-4.58500979627313
"243","telephone","may","mon","nonexistent",18,1,999,0,0,-5.02827446581108
"249","telephone","may","mon","nonexistent",389,1,999,0,0,-3.47684812242825
"257","telephone","may","mon","nonexistent",179,2,999,0,0,-4.43247415529021
"259","telephone","may","mon","nonexistent",200,1,999,0,0,-4.26719739169875
"263","telephone","may","mon","nonexistent",361,1,999,0,0,-3.59393690306092
"265","telephone","may","mon","nonexistent",67,2,999,0,0,-4.90082927782087
"270","telephone","may","mon","nonexistent",58,3,999,0,0,-5.01592513542691
"271","telephone","may","mon","nonexistent",151,1,999,0,0,-4.47210275780591
"273","telephone","may","mon","nonexistent",152,1,999,0,0,-4.46792101564046
"278","telephone","may","mon","nonexistent",102,2,999,0,0,-4.75446830203004
"280","telephone","may","mon","nonexistent",118,3,999,0,0,-4.76502060549977
"288","telephone","may","mon","nonexistent",56,2,999,0,0,-4.94682844164085
"291","telephone","may","mon","nonexistent",125,2,999,0,0,-4.65828823222464
"300","telephone","may","mon","nonexistent",362,4,999,0,0,-3.82213569524635
"302","telephone","may","mon","nonexistent",200,2,999,0,0,-4.34465756981571
"304","telephone","may","mon","nonexistent",267,2,999,0,0,-4.0644808447304
"305","telephone","may","mon","nonexistent",248,2,999,0,0,-4.143933945874
"308","telephone","may","mon","nonexistent",205,2,999,0,0,-4.32374885898845
"314","telephone","may","mon","nonexistent",214,2,999,0,0,-4.28611317949938
"320","telephone","may","mon","nonexistent",241,2,999,0,0,-4.17320614103216
"321","telephone","may","mon","nonexistent",224,3,999,0,0,-4.32175593596182
"323","telephone","may","mon","nonexistent",230,2,999,0,0,-4.21920530485214
"326","telephone","may","mon","nonexistent",111,4,999,0,0,-4.8717529787749
"327","telephone","may","mon","nonexistent",231,3,999,0,0,-4.29248374080365
"328","telephone","may","mon","nonexistent",316,3,999,0,0,-3.9370356567402
"334","telephone","may","mon","nonexistent",88,5,999,0,0,-5.04539322669726
"344","telephone","may","mon","nonexistent",325,2,999,0,0,-3.82193979913417
"350","telephone","may","mon","nonexistent",164,2,999,0,0,-4.49520028777199
"351","telephone","may","mon","nonexistent",174,3,999,0,0,-4.53084304423443
"358","telephone","may","mon","nonexistent",98,2,999,0,0,-4.77119527069185
"361","telephone","may","tue","nonexistent",88,3,999,0,0,-4.65741389596956
"366","telephone","may","tue","nonexistent",210,1,999,0,0,-3.99232099555045
"374","telephone","may","tue","nonexistent",195,1,999,0,0,-4.05504712803223
"378","telephone","may","tue","nonexistent",189,1,999,0,0,-4.08013758102495
"380","telephone","may","tue","nonexistent",18,1,999,0,0,-4.7952154913173
"382","telephone","may","tue","nonexistent",235,1,999,0,0,-3.88777744141414
"385","telephone","may","tue","nonexistent",318,1,999,0,0,-3.54069284168159
"395","telephone","may","tue","nonexistent",243,1,999,0,0,-3.85432350409052
"396","telephone","may","tue","nonexistent",769,2,999,0,0,-1.73218730317954
"401","telephone","may","tue","nonexistent",455,1,999,0,0,-2.96779416501462
"411","telephone","may","tue","nonexistent",483,1,999,0,0,-2.85070538438195
"413","telephone","may","tue","nonexistent",227,1,999,0,0,-3.92123137873776
"415","telephone","may","tue","nonexistent",576,1,999,0,0,-2.46180336299488
"418","telephone","may","tue","nonexistent",505,1,999,0,0,-2.758707056742
"423","telephone","may","tue","nonexistent",180,1,999,0,0,-4.11777326051402
"424","telephone","may","tue","nonexistent",496,3,999,0,0,-2.951263092465
"425","telephone","may","tue","nonexistent",118,1,999,0,0,-4.37704127477206
"433","telephone","may","tue","nonexistent",262,1,999,0,0,-3.77487040294692
"438","telephone","may","tue","nonexistent",241,1,999,0,0,-3.86268698842142
"439","telephone","may","tue","nonexistent",196,1,999,0,0,-4.05086538586678
"445","telephone","may","tue","nonexistent",175,1,999,0,0,-4.13868197134128
"453","telephone","may","tue","nonexistent",451,2,999,0,0,-3.06198131179339
"474","telephone","may","tue","nonexistent",379,1,999,0,0,-3.285606569589
"475","telephone","may","tue","nonexistent",30,2,999,0,0,-4.82249476344883
"479","telephone","may","tue","nonexistent",116,1,999,0,0,-4.38540475910297
"488","telephone","may","tue","nonexistent",278,1,999,0,0,-3.70796252829969
"492","telephone","may","tue","nonexistent",111,2,999,0,0,-4.48377364804719
"495","telephone","may","tue","nonexistent",49,1,999,0,0,-4.66558148418827
"504","telephone","may","tue","nonexistent",568,1,999,0,0,-2.4952573003185
"507","telephone","may","tue","nonexistent",198,3,999,0,0,-4.1974222577698
"511","telephone","may","tue","nonexistent",128,1,999,0,0,-4.33522385311754
"514","telephone","may","tue","nonexistent",369,1,999,0,0,-3.32742399124352
"518","telephone","may","tue","nonexistent",371,2,999,0,0,-3.39652068502958
"519","telephone","may","tue","nonexistent",288,2,999,0,0,-3.74360528476213
"521","telephone","may","tue","nonexistent",427,1,999,0,0,-3.08488294564728
"523","telephone","may","tue","nonexistent",158,1,999,0,0,-4.20977158815397
"528","telephone","may","tue","nonexistent",179,2,999,0,0,-4.19941518079643
"529","telephone","may","tue","nonexistent",73,1,999,0,0,-4.56521967221742
"535","telephone","may","tue","nonexistent",358,1,999,0,0,-3.3734231550635
"543","telephone","may","tue","nonexistent",289,1,999,0,0,-3.66196336447971
"546","telephone","may","tue","nonexistent",161,2,999,0,0,-4.27468653977457
"548","telephone","may","tue","nonexistent",259,2,999,0,0,-3.86487580756024
"549","telephone","may","tue","nonexistent",26,1,999,0,0,-4.76176155399368
"572","telephone","may","tue","nonexistent",155,2,999,0,0,-4.29977699276729
"574","telephone","may","tue","nonexistent",316,4,999,0,0,-3.78143686036339
"582","telephone","may","tue","nonexistent",112,2,999,0,0,-4.47959190588174
"588","telephone","may","tue","nonexistent",424,2,999,0,0,-3.1748883502606
"592","telephone","may","tue","nonexistent",219,2,999,0,0,-4.03214549417834
"594","telephone","may","tue","nonexistent",147,2,999,0,0,-4.33323093009091
"596","telephone","may","tue","nonexistent",402,4,999,0,0,-3.42180703413448
"600","telephone","may","tue","nonexistent",193,1,999,0,0,-4.06341061236314
"606","telephone","may","tue","nonexistent",389,1,999,0,0,-3.24378914793447
"609","telephone","may","tue","nonexistent",258,5,999,0,0,-4.10143808407659
"610","telephone","may","tue","nonexistent",87,1,999,0,0,-4.50667528190109
"629","telephone","may","tue","nonexistent",328,2,999,0,0,-3.57633559814403
"632","telephone","may","tue","nonexistent",246,1,999,0,0,-3.84177827759416
"634","telephone","may","tue","nonexistent",293,1,999,0,0,-3.6452363958179
"642","telephone","may","tue","nonexistent",29,3,999,0,0,-4.90413668373125
"646","telephone","may","tue","nonexistent",312,3,999,0,0,-3.72070365090823
"650","telephone","may","tue","nonexistent",328,1,999,0,0,-3.49887542002707
"656","telephone","may","tue","nonexistent",322,2,999,0,0,-3.60142605113675
"659","telephone","may","tue","nonexistent",205,2,999,0,0,-4.09068988449467
"661","telephone","may","tue","nonexistent",273,2,999,0,0,-3.80633141724391
"662","telephone","may","tue","nonexistent",339,3,999,0,0,-3.60779661244102
"670","telephone","may","tue","nonexistent",65,3,999,0,0,-4.75359396577496
"673","telephone","may","tue","nonexistent",221,2,999,0,0,-4.02378200984743
"676","telephone","may","tue","nonexistent",221,2,999,0,0,-4.02378200984743
"680","telephone","may","tue","nonexistent",378,3,999,0,0,-3.44470866798838
"695","telephone","may","tue","nonexistent",13,6,999,0,0,-5.20342509272938
"697","telephone","may","tue","nonexistent",114,2,999,0,0,-4.47122842155084
"701","telephone","may","tue","nonexistent",144,2,999,0,0,-4.34577615658726
"708","telephone","may","tue","nonexistent",593,2,999,0,0,-2.46817392429916
"711","telephone","may","tue","nonexistent",285,2,999,0,0,-3.75615051125848
"728","telephone","may","tue","nonexistent",222,2,999,0,0,-4.01960026768198
"732","telephone","may","tue","nonexistent",207,3,999,0,0,-4.15978657828073
"736","telephone","may","tue","nonexistent",42,3,999,0,0,-4.84977403558037
"739","telephone","may","tue","nonexistent",303,3,999,0,0,-3.7583393303973
"744","telephone","may","tue","nonexistent",139,2,999,0,0,-4.36668486741453
"753","telephone","may","tue","nonexistent",59,3,999,0,0,-4.77868441876768
"754","telephone","may","tue","nonexistent",166,3,999,0,0,-4.33123800706428
"756","telephone","may","tue","nonexistent",216,2,999,0,0,-4.0446907206747
"757","telephone","may","wed","nonexistent",51,3,999,0,0,-4.80288370727157
"764","telephone","may","wed","nonexistent",118,3,999,0,0,-4.52270698218626
"769","telephone","may","wed","nonexistent",162,2,999,0,0,-4.26125014878939
"781","telephone","may","wed","nonexistent",261,3,999,0,0,-3.92471785252657
"782","telephone","may","wed","nonexistent",502,1,999,0,0,-2.76199763441863
"785","telephone","may","wed","nonexistent",198,3,999,0,0,-4.18816760895007
"787","telephone","may","wed","nonexistent",275,6,999,0,0,-4.09855399656113
"788","telephone","may","wed","nonexistent",120,2,999,0,0,-4.43688331973839
"792","telephone","may","wed","nonexistent",91,1,999,0,0,-4.48069366441955
"795","telephone","may","wed","nonexistent",298,1,999,0,0,-3.61507303617091
"796","telephone","may","wed","nonexistent",326,1,999,0,0,-3.49798425553824
"797","telephone","may","wed","nonexistent",292,1,999,0,0,-3.64016348916362
"798","telephone","may","wed","nonexistent",215,1,999,0,0,-3.96215763590346
"802","telephone","may","wed","nonexistent",421,1,999,0,0,-3.10071874982027
"807","telephone","may","wed","nonexistent",852,1,999,0,0,-1.29838787651031
"813","telephone","may","wed","nonexistent",294,1,999,0,0,-3.63180000483272
"817","telephone","may","wed","nonexistent",231,1,999,0,0,-3.89524976125622
"819","telephone","may","wed","nonexistent",74,1,999,0,0,-4.55178328123224
"824","telephone","may","wed","nonexistent",254,1,999,0,0,-3.79906969145081
"828","telephone","may","wed","nonexistent",425,6,999,0,0,-3.47129267174328
"829","telephone","may","wed","nonexistent",207,1,999,0,0,-3.99561157322707
"830","telephone","may","wed","nonexistent",464,1,999,0,0,-2.92090383670582
"838","telephone","may","wed","nonexistent",112,1,999,0,0,-4.39287707894505
"840","telephone","may","wed","nonexistent",325,2,999,0,0,-3.57962617582066
"845","telephone","may","wed","nonexistent",800,1,999,0,0,-1.51583846911383
"847","telephone","may","wed","nonexistent",111,1,999,0,0,-4.3970588211105
"854","telephone","may","wed","nonexistent",298,1,999,0,0,-3.61507303617091
"857","telephone","may","wed","nonexistent",1138,1,999,0,1,-0.102409617190932
"859","telephone","may","wed","nonexistent",123,1,999,0,0,-4.34687791512507
"874","telephone","may","wed","nonexistent",173,1,999,0,0,-4.13779080685245
"878","telephone","may","wed","nonexistent",153,1,999,0,0,-4.2214256501615
"882","telephone","may","wed","nonexistent",164,2,999,0,0,-4.25288666445849
"892","telephone","may","wed","nonexistent",104,1,999,0,0,-4.42633101626867
"896","telephone","may","wed","nonexistent",378,1,999,0,0,-3.28053366293472
"901","telephone","may","wed","nonexistent",296,2,999,0,0,-3.70089669861878
"905","telephone","may","wed","nonexistent",388,1,999,0,0,-3.2387162412802
"910","telephone","may","wed","nonexistent",181,1,999,0,0,-4.10433686952884
"913","telephone","may","wed","nonexistent",69,1,999,0,0,-4.5726919920595
"921","telephone","may","wed","nonexistent",112,3,999,0,0,-4.54779743517898
"926","telephone","may","wed","nonexistent",566,2,999,0,0,-2.57182631394664
"927","telephone","may","wed","nonexistent",274,2,999,0,0,-3.79289502625873
"929","telephone","may","wed","nonexistent",97,2,999,0,0,-4.5330633895438
"947","telephone","may","wed","nonexistent",279,1,999,0,0,-3.69452613731451
"949","telephone","may","wed","nonexistent",530,2,999,0,0,-2.72236903190293
"955","telephone","may","wed","nonexistent",179,2,999,0,0,-4.1901605319767
"958","telephone","may","wed","nonexistent",396,2,999,0,0,-3.28272248207354
"965","telephone","may","wed","nonexistent",287,1,999,0,0,-3.66107219999089
"966","telephone","may","wed","nonexistent",216,2,999,0,0,-4.03543607185497
"969","telephone","may","wed","nonexistent",590,3,999,0,0,-2.54892468009275
"970","telephone","may","wed","nonexistent",55,1,999,0,0,-4.63123638237583
"971","telephone","may","wed","nonexistent",166,1,999,0,0,-4.16706300201062
"972","telephone","may","wed","nonexistent",371,2,999,0,0,-3.38726603620985
"974","telephone","may","wed","nonexistent",72,1,999,0,0,-4.56014676556314
"977","telephone","may","wed","nonexistent",196,2,999,0,0,-4.11907091516401
"994","telephone","may","wed","nonexistent",362,1,999,0,0,-3.34744153758196
"996","telephone","may","wed","nonexistent",163,1,999,0,0,-4.17960822850698
"1001","telephone","may","wed","nonexistent",214,2,999,0,0,-4.04379955618587
"1006","telephone","may","wed","nonexistent",688,2,999,0,0,-2.06165376976146
"1007","telephone","may","wed","nonexistent",103,3,999,0,0,-4.58543311466805
"1008","telephone","may","wed","nonexistent",349,2,999,0,0,-3.4792643638498
"1010","telephone","may","wed","nonexistent",78,5,999,0,0,-4.84489702503828
"1011","telephone","may","wed","nonexistent",194,1,999,0,0,-4.04997422137796
"1012","telephone","may","wed","nonexistent",126,1,999,0,0,-4.33433268862872
"1014","telephone","may","wed","nonexistent",98,1,999,0,0,-4.45142146926138
"1021","telephone","may","wed","nonexistent",803,1,999,0,0,-1.50329324261747
"1022","telephone","may","wed","nonexistent",203,1,999,0,0,-4.01233854188888
"1023","telephone","may","wed","nonexistent",96,3,999,0,0,-4.61470530982621
"1025","telephone","may","wed","nonexistent",153,3,999,0,0,-4.37634600639543
"1029","telephone","may","wed","nonexistent",152,2,999,0,0,-4.30306757044392
"1046","telephone","may","wed","nonexistent",332,2,999,0,0,-3.55035398066249
"1053","telephone","may","wed","nonexistent",222,4,999,0,0,-4.16526597509618
"1056","telephone","may","wed","nonexistent",381,2,999,0,0,-3.34544861455533
"1065","telephone","may","wed","nonexistent",50,2,999,0,0,-4.72960527132006
"1068","telephone","may","wed","nonexistent",191,4,999,0,0,-4.2948999822252
"1069","telephone","may","wed","nonexistent",305,3,999,0,0,-3.74072119724667
"1070","telephone","may","wed","nonexistent",134,2,999,0,0,-4.37833892942206
"1072","telephone","may","wed","nonexistent",217,2,999,0,0,-4.03125432968951
"1082","telephone","may","wed","nonexistent",256,3,999,0,0,-3.94562656335384
"1087","telephone","may","wed","nonexistent",591,3,999,0,0,-2.5447429379273
"1088","telephone","may","wed","nonexistent",113,2,999,0,0,-4.46615551489656
"1089","telephone","may","wed","nonexistent",517,3,999,0,0,-2.85419185817077
"1095","telephone","may","wed","nonexistent",253,8,999,0,0,-4.34547268043501
"1103","telephone","may","wed","nonexistent",126,5,999,0,0,-4.64417340109657
"1104","telephone","may","wed","nonexistent",161,3,999,0,0,-4.34289206907181
"1114","telephone","may","wed","nonexistent",984,1,999,0,0,-0.746397910670594
"1132","telephone","may","wed","nonexistent",35,3,999,0,0,-4.86979158191881
"1138","telephone","may","wed","nonexistent",404,5,999,0,0,-3.48164907910081
"1147","telephone","may","thu","nonexistent",177,3,999,0,0,-4.372232127164
"1149","telephone","may","thu","nonexistent",31,2,999,0,0,-4.90530630520308
"1150","telephone","may","thu","nonexistent",425,6,999,0,0,-3.5675406044827
"1153","telephone","may","thu","nonexistent",239,2,999,0,0,-4.03550393478899
"1155","telephone","may","thu","nonexistent",308,3,999,0,0,-3.82442390348974
"1163","telephone","may","thu","nonexistent",67,1,999,0,0,-4.67730340912983
"1164","telephone","may","thu","nonexistent",196,1,999,0,0,-4.13785866978648
"1167","telephone","may","thu","nonexistent",813,1,999,0,1,-1.55772375370237
"1168","telephone","may","thu","nonexistent",178,1,999,0,0,-4.21313002876462
"1179","telephone","may","thu","nonexistent",314,1,999,0,0,-3.6444130942631
"1180","telephone","may","thu","nonexistent",203,1,999,0,0,-4.10858647462831
"1183","telephone","may","thu","nonexistent",193,1,999,0,0,-4.15040389628283
"1185","telephone","may","thu","nonexistent",528,1,999,0,0,-2.74952027085629
"1186","telephone","may","thu","nonexistent",183,1,999,0,0,-4.19222131793736
"1190","telephone","may","thu","nonexistent",541,3,999,0,1,-2.85007797893934
"1192","telephone","may","thu","nonexistent",93,1,999,0,0,-4.56857811282807
"1200","telephone","may","thu","nonexistent",86,1,999,0,0,-4.59785030798623
"1205","telephone","may","thu","nonexistent",405,1,999,0,0,-3.26387455720693
"1207","telephone","may","thu","nonexistent",202,1,999,0,0,-4.11276821679376
"1209","telephone","may","thu","nonexistent",75,1,999,0,0,-4.64384947180621
"1212","telephone","may","thu","nonexistent",462,1,999,0,0,-3.02551525377615
"1213","telephone","may","thu","nonexistent",80,1,999,0,0,-4.62294076097895
"1216","telephone","may","thu","nonexistent",139,2,999,0,0,-4.45367815133422
"1220","telephone","may","thu","nonexistent",66,2,999,0,0,-4.75894532941225
"1222","telephone","may","thu","nonexistent",159,1,999,0,0,-4.29258312990821
"1223","telephone","may","thu","nonexistent",129,2,999,0,0,-4.49549557298875
"1228","telephone","may","thu","nonexistent",323,1,999,0,0,-3.60677741477403
"1229","telephone","may","thu","nonexistent",194,1,999,0,0,-4.14622215411738
"1230","telephone","may","thu","nonexistent",82,1,999,0,0,-4.61457727664804
"1232","telephone","may","thu","nonexistent",269,1,999,0,0,-3.83259149170845
"1235","telephone","may","thu","nonexistent",294,1,999,0,0,-3.72804793757215
"1245","telephone","may","thu","nonexistent",206,1,999,0,0,-4.09604124813195
"1247","telephone","may","thu","nonexistent",216,1,999,0,0,-4.05422382647743
"1248","telephone","may","thu","nonexistent",103,3,999,0,0,-4.68168104740747
"1253","telephone","may","thu","nonexistent",339,2,999,0,0,-3.61732971824375
"1255","telephone","may","thu","nonexistent",141,1,999,0,0,-4.36785448888636
"1257","telephone","may","thu","nonexistent",1120,2,999,0,1,-0.351389087025463
"1259","telephone","may","thu","nonexistent",226,1,999,0,0,-4.01240640482291
"1261","telephone","may","thu","nonexistent",306,1,999,0,0,-3.67786703158672
"1269","telephone","may","thu","nonexistent",393,1,999,0,0,-3.31405546319236
"1277","telephone","may","thu","nonexistent",154,1,999,0,0,-4.31349184073547
"1280","telephone","may","thu","nonexistent",21,1,999,0,0,-4.86966354874064
"1284","telephone","may","thu","nonexistent",665,1,999,0,0,-2.17662159418932
"1288","telephone","may","thu","nonexistent",60,1,999,0,0,-4.706575604288
"1293","telephone","may","thu","nonexistent",140,1,999,0,0,-4.37203623105181
"1302","telephone","may","thu","nonexistent",102,2,999,0,0,-4.60840261145596
"1304","telephone","may","thu","nonexistent",249,2,999,0,0,-3.99368651313446
"1306","telephone","may","thu","nonexistent",1007,1,999,0,0,-0.746465773604616
"1320","telephone","may","thu","nonexistent",513,1,999,0,1,-2.81224640333808
"1322","telephone","may","thu","nonexistent",170,1,999,0,0,-4.24658396608824
"1323","telephone","may","thu","nonexistent",365,1,999,0,0,-3.43114424382503
"1324","telephone","may","thu","nonexistent",63,2,999,0,0,-4.7714905559086
"1325","telephone","may","thu","nonexistent",159,4,999,0,0,-4.5249636642591
"1326","telephone","may","thu","nonexistent",177,2,999,0,0,-4.29477194904703
"1331","telephone","may","thu","nonexistent",166,1,999,0,0,-4.26331093475005
"1333","telephone","may","thu","nonexistent",168,2,999,0,0,-4.33240762853611
"1340","telephone","may","thu","nonexistent",288,1,999,0,0,-3.75313839056486
"1344","telephone","may","thu","nonexistent",208,1,999,0,0,-4.08767776380105
"1346","telephone","may","thu","nonexistent",442,2,999,0,0,-3.18661027520216
"1347","telephone","may","thu","nonexistent",101,1,999,0,0,-4.53512417550445
"1351","telephone","may","thu","nonexistent",189,1,999,0,0,-4.16713086494464
"1354","telephone","may","thu","nonexistent",238,1,999,0,0,-3.96222549883748
"1362","telephone","may","thu","nonexistent",44,1,999,0,0,-4.77348347893523
"1367","telephone","may","thu","nonexistent",147,5,999,0,0,-4.6526047483615
"1368","telephone","may","thu","nonexistent",1170,1,999,0,0,-0.064841800635882
"1369","telephone","may","thu","nonexistent",807,2,999,0,0,-1.66027438481205
"1373","telephone","may","thu","nonexistent",155,2,999,0,0,-4.38677027668699
"1374","telephone","may","thu","nonexistent",159,2,999,0,0,-4.37004330802518
"1375","telephone","may","thu","nonexistent",343,2,999,0,0,-3.60060274958194
"1378","telephone","may","thu","nonexistent",389,2,999,0,0,-3.40824260997113
"1383","telephone","may","thu","nonexistent",103,4,999,0,0,-4.75914122552444
"1384","telephone","may","thu","nonexistent",32,2,999,0,0,-4.90112456303763
"1387","telephone","may","thu","nonexistent",369,2,999,0,0,-3.49187745328018
"1389","telephone","may","thu","nonexistent",302,2,999,0,0,-3.77205417836549
"1397","telephone","may","thu","nonexistent",2087,2,999,0,1,3.69235558696696
"1400","telephone","may","thu","nonexistent",245,1,999,0,0,-3.93295330367931
"1401","telephone","may","thu","nonexistent",190,1,999,0,0,-4.16294912277919
"1402","telephone","may","thu","nonexistent",223,2,999,0,0,-4.10241180943623
"1411","telephone","may","thu","nonexistent",205,2,999,0,0,-4.17768316841437
"1414","telephone","may","thu","nonexistent",151,2,999,0,0,-4.4034972453488
"1418","telephone","may","thu","nonexistent",305,2,999,0,0,-3.75950895186913
"1421","telephone","may","thu","nonexistent",287,1,999,0,0,-3.75732013273031
"1423","telephone","may","thu","nonexistent",119,2,999,0,0,-4.53731299464327
"1424","telephone","may","thu","nonexistent",403,2,999,0,0,-3.3496982196548
"1430","telephone","may","thu","nonexistent",10,7,999,0,0,-5.38042378126239
"1433","telephone","may","thu","nonexistent",312,3,999,0,0,-3.80769693482793
"1434","telephone","may","thu","nonexistent",224,2,999,0,0,-4.09823006727077
"1439","telephone","may","thu","nonexistent",257,2,999,0,0,-3.96023257581085
"1444","telephone","may","thu","nonexistent",442,2,999,0,0,-3.18661027520216
"1446","telephone","may","thu","nonexistent",186,2,999,0,0,-4.25713626955796
"1449","telephone","may","thu","nonexistent",226,1,999,0,0,-4.01240640482291
"1450","telephone","may","thu","nonexistent",275,1,999,0,0,-3.80750103871574
"1451","telephone","may","thu","nonexistent",81,2,999,0,0,-4.69621919693046
"1452","telephone","may","thu","nonexistent",74,7,999,0,0,-5.11279228267344
"1453","telephone","may","thu","nonexistent",285,1,999,0,0,-3.76568361706122
"1455","telephone","may","thu","nonexistent",151,2,999,0,0,-4.4034972453488
"1458","telephone","may","thu","nonexistent",102,2,999,0,0,-4.60840261145596
"1467","telephone","may","thu","nonexistent",133,2,999,0,0,-4.47876860432694
"1469","telephone","may","thu","nonexistent",139,1,999,0,0,-4.37621797321726
"1476","telephone","may","thu","nonexistent",459,2,999,0,0,-3.11552065838947
"1483","telephone","may","thu","nonexistent",43,2,999,0,0,-4.85512539921765
"1493","telephone","may","thu","nonexistent",205,4,999,0,0,-4.3326035246483
"1498","telephone","may","thu","nonexistent",193,2,999,0,0,-4.2278640743998
"1505","telephone","may","thu","nonexistent",300,2,999,0,0,-3.78041766269639
"1506","telephone","may","thu","nonexistent",672,3,999,0,0,-2.30226975526508
"1507","telephone","may","thu","nonexistent",390,3,999,0,0,-3.48152104592265
"1513","telephone","may","thu","nonexistent",369,2,999,0,0,-3.49187745328018
"1514","telephone","may","thu","nonexistent",393,2,999,0,0,-3.39151564130933
"1516","telephone","may","thu","nonexistent",330,3,999,0,0,-3.73242557584979
"1517","telephone","may","thu","nonexistent",91,3,999,0,0,-4.7318619533929
"1519","telephone","may","thu","nonexistent",277,3,999,0,0,-3.95405791061876
"1522","telephone","may","thu","nonexistent",297,2,999,0,0,-3.79296288919275
"1526","telephone","may","thu","nonexistent",886,2,999,0,0,-1.32991675374131
"1529","telephone","may","thu","nonexistent",341,2,999,0,0,-3.60896623391285
"1530","telephone","may","thu","nonexistent",461,3,999,0,0,-3.18461735217553
"1543","telephone","may","thu","nonexistent",104,3,999,0,0,-4.67749930524202
"1544","telephone","may","thu","nonexistent",117,3,999,0,0,-4.62313665709114
"1547","telephone","may","thu","nonexistent",627,4,999,0,0,-2.5679083308274
"1548","telephone","may","thu","nonexistent",466,2,999,0,0,-3.0862484632313
"1551","telephone","may","thu","nonexistent",283,3,999,0,0,-3.92896745762605
