contact,month,day_of_week,poutcome,duration,campaign,pdays,previous,y
telephone,may,mon,nonexistent,197,1,999,0,0
telephone,may,mon,nonexistent,190,1,999,0,0
telephone,may,mon,nonexistent,21,1,999,0,0
telephone,may,mon,nonexistent,300,2,999,0,0
telephone,may,mon,nonexistent,123,2,999,0,0
telephone,may,mon,nonexistent,293,1,999,0,0
telephone,may,mon,nonexistent,325,1,999,0,0
telephone,may,mon,nonexistent,514,1,999,0,0
telephone,may,mon,nonexistent,849,2,999,0,0
telephone,may,mon,nonexistent,194,1,999,0,0
telephone,may,mon,nonexistent,212,2,999,0,0
telephone,may,mon,nonexistent,337,2,999,0,0
telephone,may,mon,nonexistent,286,1,999,0,0
telephone,may,mon,nonexistent,247,2,999,0,0
telephone,may,mon,nonexistent,518,1,999,0,0
telephone,may,mon,nonexistent,364,1,999,0,0
telephone,may,mon,nonexistent,178,1,999,0,0
telephone,may,mon,nonexistent,98,1,999,0,0
telephone,may,mon,nonexistent,439,1,999,0,0
telephone,may,mon,nonexistent,139,1,999,0,0
telephone,may,mon,nonexistent,79,1,999,0,0
telephone,may,mon,nonexistent,175,1,999,0,0
telephone,may,mon,nonexistent,262,2,999,0,0
telephone,may,mon,nonexistent,61,1,999,0,0
telephone,may,mon,nonexistent,78,1,999,0,0
telephone,may,mon,nonexistent,102,2,999,0,0
telephone,may,mon,nonexistent,579,1,999,0,1
telephone,may,mon,nonexistent,143,1,999,0,0
telephone,may,mon,nonexistent,677,1,999,0,0
telephone,may,mon,nonexistent,267,1,999,0,0
telephone,may,mon,nonexistent,345,1,999,0,0
telephone,may,mon,nonexistent,185,1,999,0,0
telephone,may,mon,nonexistent,207,1,999,0,0
telephone,may,mon,nonexistent,69,2,999,0,0
telephone,may,mon,nonexistent,100,2,999,0,0
telephone,may,mon,nonexistent,125,2,999,0,0
telephone,may,mon,nonexistent,461,1,999,0,1
telephone,may,mon,nonexistent,240,1,999,0,0
telephone,may,mon,nonexistent,70,1,999,0,0
telephone,may,mon,nonexistent,193,1,999,0,0
telephone,may,mon,nonexistent,136,1,999,0,0
telephone,may,mon,nonexistent,73,1,999,0,0
telephone,may,mon,nonexistent,528,1,999,0,0
telephone,may,mon,nonexistent,541,1,999,0,0
telephone,may,mon,nonexistent,338,1,999,0,0
telephone,may,mon,nonexistent,163,1,999,0,0
telephone,may,mon,nonexistent,87,1,999,0,0
telephone,may,mon,nonexistent,301,1,999,0,0
telephone,may,mon,nonexistent,46,1,999,0,0
telephone,may,mon,nonexistent,52,1,999,0,0
telephone,may,mon,nonexistent,204,1,999,0,0
telephone,may,mon,nonexistent,155,1,999,0,0
telephone,may,mon,nonexistent,98,1,999,0,0
telephone,may,mon,nonexistent,71,1,999,0,0
telephone,may,mon,nonexistent,243,1,999,0,0
telephone,may,mon,nonexistent,186,2,999,0,0
telephone,may,mon,nonexistent,579,2,999,0,0
telephone,may,mon,nonexistent,165,2,999,0,0
telephone,may,mon,nonexistent,163,2,999,0,0
telephone,may,mon,nonexistent,46,1,999,0,0
telephone,may,mon,nonexistent,559,3,999,0,0
telephone,may,mon,nonexistent,2033,1,999,0,0
telephone,may,mon,nonexistent,85,1,999,0,0
telephone,may,mon,nonexistent,506,1,999,0,0
telephone,may,mon,nonexistent,114,2,999,0,0
telephone,may,mon,nonexistent,114,2,999,0,0
telephone,may,mon,nonexistent,843,2,999,0,0
telephone,may,mon,nonexistent,181,1,999,0,0
telephone,may,mon,nonexistent,427,1,999,0,0
telephone,may,mon,nonexistent,292,1,999,0,0
telephone,may,mon,nonexistent,192,1,999,0,0
telephone,may,mon,nonexistent,93,3,999,0,0
telephone,may,mon,nonexistent,128,2,999,0,0
telephone,may,mon,nonexistent,107,1,999,0,0
telephone,may,mon,nonexistent,303,2,999,0,0
telephone,may,mon,nonexistent,81,1,999,0,0
telephone,may,mon,nonexistent,270,1,999,0,0
telephone,may,mon,nonexistent,228,1,999,0,0
telephone,may,mon,nonexistent,240,1,999,0,0
telephone,may,mon,nonexistent,673,2,999,0,1
telephone,may,mon,nonexistent,233,3,999,0,0
telephone,may,mon,nonexistent,102,1,999,0,0
telephone,may,mon,nonexistent,461,1,999,0,0
telephone,may,mon,nonexistent,250,1,999,0,0
telephone,may,mon,nonexistent,130,1,999,0,0
telephone,may,mon,nonexistent,252,1,999,0,0
telephone,may,mon,nonexistent,138,1,999,0,0
telephone,may,mon,nonexistent,412,1,999,0,0
telephone,may,mon,nonexistent,179,2,999,0,0
telephone,may,mon,nonexistent,19,2,999,0,0
telephone,may,mon,nonexistent,228,2,999,0,0
telephone,may,mon,nonexistent,55,1,999,0,0
telephone,may,mon,nonexistent,717,1,999,0,0
telephone,may,mon,nonexistent,313,1,999,0,0
telephone,may,mon,nonexistent,289,1,999,0,0
telephone,may,mon,nonexistent,683,2,999,0,0
telephone,may,mon,nonexistent,1077,1,999,0,0
telephone,may,mon,nonexistent,146,2,999,0,0
telephone,may,mon,nonexistent,167,1,999,0,0
telephone,may,mon,nonexistent,356,2,999,0,0
telephone,may,mon,nonexistent,277,1,999,0,0
telephone,may,mon,nonexistent,172,1,999,0,0
telephone,may,mon,nonexistent,218,1,999,0,0
telephone,may,mon,nonexistent,217,1,999,0,0
telephone,may,mon,nonexistent,67,1,999,0,0
telephone,may,mon,nonexistent,291,1,999,0,0
telephone,may,mon,nonexistent,248,1,999,0,0
telephone,may,mon,nonexistent,256,1,999,0,0
telephone,may,mon,nonexistent,286,1,999,0,0
telephone,may,mon,nonexistent,477,1,999,0,0
telephone,may,mon,nonexistent,611,2,999,0,0
telephone,may,mon,nonexistent,471,1,999,0,0
telephone,may,mon,nonexistent,381,2,999,0,0
telephone,may,mon,nonexistent,251,1,999,0,0
telephone,may,mon,nonexistent,408,1,999,0,0
telephone,may,mon,nonexistent,287,1,999,0,0
telephone,may,mon,nonexistent,322,3,999,0,0
telephone,may,mon,nonexistent,216,2,999,0,0
telephone,may,mon,nonexistent,366,2,999,0,0
telephone,may,mon,nonexistent,210,1,999,0,0
telephone,may,mon,nonexistent,288,1,999,0,0
telephone,may,mon,nonexistent,168,1,999,0,0
telephone,may,mon,nonexistent,132,1,999,0,0
telephone,may,mon,nonexistent,64,2,999,0,0
telephone,may,mon,nonexistent,209,2,999,0,0
telephone,may,mon,nonexistent,410,3,999,0,0
telephone,may,mon,nonexistent,177,1,999,0,0
telephone,may,mon,nonexistent,580,2,999,0,0
telephone,may,mon,nonexistent,165,1,999,0,0
telephone,may,mon,nonexistent,127,2,999,0,0
telephone,may,mon,nonexistent,357,1,999,0,0
telephone,may,mon,nonexistent,175,1,999,0,0
telephone,may,mon,nonexistent,300,1,999,0,0
telephone,may,mon,nonexistent,136,1,999,0,0
telephone,may,mon,nonexistent,125,2,999,0,0
telephone,may,mon,nonexistent,189,2,999,0,0
telephone,may,mon,nonexistent,213,3,999,0,0
telephone,may,mon,nonexistent,238,2,999,0,0
telephone,may,mon,nonexistent,124,1,999,0,0
telephone,may,mon,nonexistent,18,1,999,0,0
telephone,may,mon,nonexistent,730,2,999,0,0
telephone,may,mon,nonexistent,40,1,999,0,0
telephone,may,mon,nonexistent,181,2,999,0,0
telephone,may,mon,nonexistent,79,1,999,0,0
telephone,may,mon,nonexistent,142,2,999,0,0
telephone,may,mon,nonexistent,389,1,999,0,0
telephone,may,mon,nonexistent,702,1,999,0,0
telephone,may,mon,nonexistent,151,1,999,0,0
telephone,may,mon,nonexistent,211,1,999,0,0
telephone,may,mon,nonexistent,117,1,999,0,0
telephone,may,mon,nonexistent,232,3,999,0,0
telephone,may,mon,nonexistent,408,2,999,0,0
telephone,may,mon,nonexistent,370,3,999,0,0
telephone,may,mon,nonexistent,179,2,999,0,0
telephone,may,mon,nonexistent,46,1,999,0,0
telephone,may,mon,nonexistent,200,1,999,0,0
telephone,may,mon,nonexistent,50,1,999,0,0
telephone,may,mon,nonexistent,181,1,999,0,0
telephone,may,mon,nonexistent,119,1,999,0,0
telephone,may,mon,nonexistent,361,1,999,0,0
telephone,may,mon,nonexistent,73,3,999,0,0
telephone,may,mon,nonexistent,67,2,999,0,0
telephone,may,mon,nonexistent,350,1,999,0,0
telephone,may,mon,nonexistent,150,2,999,0,0
telephone,may,mon,nonexistent,332,2,999,0,0
telephone,may,mon,nonexistent,611,2,999,0,0
telephone,may,mon,nonexistent,58,3,999,0,0
telephone,may,mon,nonexistent,151,1,999,0,0
telephone,may,mon,nonexistent,89,2,999,0,0
telephone,may,mon,nonexistent,152,1,999,0,0
telephone,may,mon,nonexistent,611,2,999,0,0
telephone,may,mon,nonexistent,110,2,999,0,0
telephone,may,mon,nonexistent,463,1,999,0,0
telephone,may,mon,nonexistent,962,1,999,0,0
telephone,may,mon,nonexistent,102,2,999,0,0
telephone,may,mon,nonexistent,10,4,999,0,0
telephone,may,mon,nonexistent,118,3,999,0,0
telephone,may,mon,nonexistent,92,2,999,0,0
telephone,may,mon,nonexistent,143,3,999,0,0
telephone,may,mon,nonexistent,189,3,999,0,0
telephone,may,mon,nonexistent,75,2,999,0,0
telephone,may,mon,nonexistent,189,2,999,0,0
telephone,may,mon,nonexistent,55,2,999,0,0
telephone,may,mon,nonexistent,935,3,999,0,1
telephone,may,mon,nonexistent,56,2,999,0,0
telephone,may,mon,nonexistent,5,2,999,0,0
telephone,may,mon,nonexistent,225,2,999,0,0
telephone,may,mon,nonexistent,125,2,999,0,0
telephone,may,mon,nonexistent,286,2,999,0,0
telephone,may,mon,nonexistent,206,2,999,0,0
telephone,may,mon,nonexistent,164,2,999,0,0
telephone,may,mon,nonexistent,98,2,999,0,0
telephone,may,mon,nonexistent,446,2,999,0,0
telephone,may,mon,nonexistent,742,2,999,0,0
telephone,may,mon,nonexistent,120,2,999,0,0
telephone,may,mon,nonexistent,122,3,999,0,0
telephone,may,mon,nonexistent,362,4,999,0,0
telephone,may,mon,nonexistent,357,2,999,0,0
telephone,may,mon,nonexistent,200,2,999,0,0
telephone,may,mon,nonexistent,107,2,999,0,0
telephone,may,mon,nonexistent,267,2,999,0,0
telephone,may,mon,nonexistent,248,2,999,0,0
telephone,may,mon,nonexistent,215,2,999,0,0
telephone,may,mon,nonexistent,209,2,999,0,0
telephone,may,mon,nonexistent,205,2,999,0,0
telephone,may,mon,nonexistent,261,3,999,0,0
telephone,may,mon,nonexistent,83,2,999,0,0
telephone,may,mon,nonexistent,106,3,999,0,0
telephone,may,mon,nonexistent,106,2,999,0,0
telephone,may,mon,nonexistent,108,2,999,0,0
telephone,may,mon,nonexistent,214,2,999,0,0
telephone,may,mon,nonexistent,358,2,999,0,0
telephone,may,mon,nonexistent,453,2,999,0,0
telephone,may,mon,nonexistent,364,2,999,0,0
telephone,may,mon,nonexistent,136,2,999,0,0
telephone,may,mon,nonexistent,173,2,999,0,0
telephone,may,mon,nonexistent,241,2,999,0,0
telephone,may,mon,nonexistent,224,3,999,0,0
telephone,may,mon,nonexistent,148,2,999,0,0
telephone,may,mon,nonexistent,230,2,999,0,0
telephone,may,mon,nonexistent,199,3,999,0,0
telephone,may,mon,nonexistent,196,2,999,0,0
telephone,may,mon,nonexistent,111,4,999,0,0
telephone,may,mon,nonexistent,231,3,999,0,0
telephone,may,mon,nonexistent,316,3,999,0,0
telephone,may,mon,nonexistent,240,2,999,0,0
telephone,may,mon,nonexistent,669,3,999,0,0
telephone,may,mon,nonexistent,425,2,999,0,0
telephone,may,mon,nonexistent,121,2,999,0,0
telephone,may,mon,nonexistent,174,5,999,0,0
telephone,may,mon,nonexistent,88,5,999,0,0
telephone,may,mon,nonexistent,313,3,999,0,0
telephone,may,mon,nonexistent,135,4,999,0,0
telephone,may,mon,nonexistent,152,2,999,0,0
telephone,may,mon,nonexistent,402,3,999,0,0
telephone,may,mon,nonexistent,221,2,999,0,0
telephone,may,mon,nonexistent,213,2,999,0,0
telephone,may,mon,nonexistent,144,3,999,0,0
telephone,may,mon,nonexistent,158,3,999,0,0
telephone,may,mon,nonexistent,220,3,999,0,0
telephone,may,mon,nonexistent,325,2,999,0,0
telephone,may,mon,nonexistent,254,2,999,0,0
telephone,may,mon,nonexistent,503,2,999,0,0
telephone,may,mon,nonexistent,680,2,999,0,0
telephone,may,mon,nonexistent,421,4,999,0,0
telephone,may,mon,nonexistent,130,3,999,0,0
telephone,may,mon,nonexistent,164,2,999,0,0
telephone,may,mon,nonexistent,174,3,999,0,0
telephone,may,mon,nonexistent,113,2,999,0,0
telephone,may,mon,nonexistent,195,2,999,0,0
telephone,may,mon,nonexistent,347,3,999,0,0
telephone,may,mon,nonexistent,208,2,999,0,0
telephone,may,mon,nonexistent,404,4,999,0,0
telephone,may,mon,nonexistent,396,2,999,0,0
telephone,may,mon,nonexistent,98,2,999,0,0
telephone,may,mon,nonexistent,229,3,999,0,0
telephone,may,mon,nonexistent,350,2,999,0,0
telephone,may,tue,nonexistent,88,3,999,0,0
telephone,may,tue,nonexistent,379,2,999,0,0
telephone,may,tue,nonexistent,168,3,999,0,0
telephone,may,tue,nonexistent,190,3,999,0,0
telephone,may,tue,nonexistent,158,1,999,0,0
telephone,may,tue,nonexistent,210,1,999,0,0
telephone,may,tue,nonexistent,102,1,999,0,0
telephone,may,tue,nonexistent,306,1,999,0,0
telephone,may,tue,nonexistent,64,1,999,0,0
telephone,may,tue,nonexistent,218,1,999,0,0
telephone,may,tue,nonexistent,77,1,999,0,0
telephone,may,tue,nonexistent,54,1,999,0,0
telephone,may,tue,nonexistent,344,1,999,0,0
telephone,may,tue,nonexistent,195,1,999,0,0
telephone,may,tue,nonexistent,202,1,999,0,0
telephone,may,tue,nonexistent,286,1,999,0,0
telephone,may,tue,nonexistent,278,1,999,0,0
telephone,may,tue,nonexistent,189,1,999,0,0
telephone,may,tue,nonexistent,83,1,999,0,0
telephone,may,tue,nonexistent,18,1,999,0,0
telephone,may,tue,nonexistent,184,2,999,0,0
telephone,may,tue,nonexistent,235,1,999,0,0
telephone,may,tue,nonexistent,290,1,999,0,0
telephone,may,tue,nonexistent,133,1,999,0,0
telephone,may,tue,nonexistent,318,1,999,0,0
telephone,may,tue,nonexistent,437,1,999,0,0
telephone,may,tue,nonexistent,402,1,999,0,0
telephone,may,tue,nonexistent,501,4,999,0,0
telephone,may,tue,nonexistent,1201,1,999,0,1
telephone,may,tue,nonexistent,1030,1,999,0,1
telephone,may,tue,nonexistent,253,1,999,0,0
telephone,may,tue,nonexistent,149,1,999,0,0
telephone,may,tue,nonexistent,144,1,999,0,0
telephone,may,tue,nonexistent,69,1,999,0,0
telephone,may,tue,nonexistent,243,1,999,0,0
telephone,may,tue,nonexistent,769,2,999,0,0
telephone,may,tue,nonexistent,135,3,999,0,0
telephone,may,tue,nonexistent,231,1,999,0,0
telephone,may,tue,nonexistent,442,2,999,0,0
telephone,may,tue,nonexistent,199,1,999,0,0
telephone,may,tue,nonexistent,455,1,999,0,0
telephone,may,tue,nonexistent,152,1,999,0,0
telephone,may,tue,nonexistent,124,1,999,0,0
telephone,may,tue,nonexistent,424,1,999,0,0
telephone,may,tue,nonexistent,43,1,999,0,0
telephone,may,tue,nonexistent,154,1,999,0,0
telephone,may,tue,nonexistent,393,1,999,0,0
telephone,may,tue,nonexistent,203,2,999,0,0
telephone,may,tue,nonexistent,140,2,999,0,0
telephone,may,tue,nonexistent,326,1,999,0,0
telephone,may,tue,nonexistent,483,1,999,0,0
telephone,may,tue,nonexistent,259,1,999,0,0
telephone,may,tue,nonexistent,227,1,999,0,0
telephone,may,tue,nonexistent,673,1,999,0,0
telephone,may,tue,nonexistent,576,1,999,0,0
telephone,may,tue,nonexistent,180,2,999,0,0
telephone,may,tue,nonexistent,90,1,999,0,0
telephone,may,tue,nonexistent,505,1,999,0,0
telephone,may,tue,nonexistent,245,1,999,0,0
telephone,may,tue,nonexistent,186,1,999,0,0
telephone,may,tue,nonexistent,208,1,999,0,0
telephone,may,tue,nonexistent,623,1,999,0,0
telephone,may,tue,nonexistent,180,1,999,0,0
telephone,may,tue,nonexistent,496,3,999,0,0
telephone,may,tue,nonexistent,118,1,999,0,0
telephone,may,tue,nonexistent,102,2,999,0,0
telephone,may,tue,nonexistent,342,1,999,0,0
telephone,may,tue,nonexistent,225,1,999,0,0
telephone,may,tue,nonexistent,185,3,999,0,0
telephone,may,tue,nonexistent,276,1,999,0,0
telephone,may,tue,nonexistent,87,1,999,0,0
telephone,may,tue,nonexistent,744,1,999,0,0
telephone,may,tue,nonexistent,262,1,999,0,0
telephone,may,tue,nonexistent,271,1,999,0,0
telephone,may,tue,nonexistent,141,1,999,0,0
telephone,may,tue,nonexistent,198,2,999,0,0
telephone,may,tue,nonexistent,150,1,999,0,0
telephone,may,tue,nonexistent,241,1,999,0,0
telephone,may,tue,nonexistent,196,1,999,0,0
telephone,may,tue,nonexistent,149,1,999,0,0
telephone,may,tue,nonexistent,264,1,999,0,0
telephone,may,tue,nonexistent,246,1,999,0,0
telephone,may,tue,nonexistent,309,2,999,0,0
telephone,may,tue,nonexistent,140,1,999,0,0
telephone,may,tue,nonexistent,175,1,999,0,0
telephone,may,tue,nonexistent,136,1,999,0,0
telephone,may,tue,nonexistent,1623,1,999,0,1
telephone,may,tue,nonexistent,50,1,999,0,0
telephone,may,tue,nonexistent,101,1,999,0,0
telephone,may,tue,nonexistent,144,1,999,0,0
telephone,may,tue,nonexistent,238,1,999,0,0
telephone,may,tue,nonexistent,354,1,999,0,0
telephone,may,tue,nonexistent,451,2,999,0,0
telephone,may,tue,nonexistent,159,1,999,0,0
telephone,may,tue,nonexistent,170,1,999,0,0
telephone,may,tue,nonexistent,243,1,999,0,0
telephone,may,tue,nonexistent,141,2,999,0,0
telephone,may,tue,nonexistent,112,1,999,0,0
telephone,may,tue,nonexistent,262,2,999,0,0
telephone,may,tue,nonexistent,53,1,999,0,0
telephone,may,tue,nonexistent,134,1,999,0,0
telephone,may,tue,nonexistent,204,4,999,0,0
telephone,may,tue,nonexistent,678,1,999,0,0
telephone,may,tue,nonexistent,182,1,999,0,0
telephone,may,tue,nonexistent,162,1,999,0,0
telephone,may,tue,nonexistent,177,1,999,0,0
telephone,may,tue,nonexistent,27,1,999,0,0
telephone,may,tue,nonexistent,699,3,999,0,0
telephone,may,tue,nonexistent,358,1,999,0,0
telephone,may,tue,nonexistent,1677,1,999,0,1
telephone,may,tue,nonexistent,529,1,999,0,0
telephone,may,tue,nonexistent,310,1,999,0,0
telephone,may,tue,nonexistent,47,1,999,0,0
telephone,may,tue,nonexistent,379,1,999,0,0
telephone,may,tue,nonexistent,30,2,999,0,0
telephone,may,tue,nonexistent,472,1,999,0,0
telephone,may,tue,nonexistent,113,1,999,0,0
telephone,may,tue,nonexistent,114,1,999,0,0
telephone,may,tue,nonexistent,116,1,999,0,0
telephone,may,tue,nonexistent,448,1,999,0,0
telephone,may,tue,nonexistent,264,1,999,0,0
telephone,may,tue,nonexistent,169,1,999,0,0
telephone,may,tue,nonexistent,145,1,999,0,0
telephone,may,tue,nonexistent,288,1,999,0,0
telephone,may,tue,nonexistent,381,1,999,0,0
telephone,may,tue,nonexistent,176,2,999,0,0
telephone,may,tue,nonexistent,215,1,999,0,0
telephone,may,tue,nonexistent,278,1,999,0,0
telephone,may,tue,nonexistent,188,2,999,0,0
telephone,may,tue,nonexistent,174,2,999,0,0
telephone,may,tue,nonexistent,226,2,999,0,0
telephone,may,tue,nonexistent,111,2,999,0,0
telephone,may,tue,nonexistent,157,2,999,0,0
telephone,may,tue,nonexistent,46,1,999,0,0
telephone,may,tue,nonexistent,49,1,999,0,0
telephone,may,tue,nonexistent,374,1,999,0,0
telephone,may,tue,nonexistent,349,1,999,0,0
telephone,may,tue,nonexistent,325,1,999,0,0
telephone,may,tue,nonexistent,233,2,999,0,0
telephone,may,tue,nonexistent,531,1,999,0,0
telephone,may,tue,nonexistent,153,1,999,0,0
telephone,may,tue,nonexistent,80,1,999,0,0
telephone,may,tue,nonexistent,198,1,999,0,0
telephone,may,tue,nonexistent,568,1,999,0,0
telephone,may,tue,nonexistent,918,1,999,0,1
telephone,may,tue,nonexistent,82,1,999,0,0
telephone,may,tue,nonexistent,198,3,999,0,0
telephone,may,tue,nonexistent,211,1,999,0,0
telephone,may,tue,nonexistent,120,1,999,0,0
telephone,may,tue,nonexistent,269,1,999,0,0
telephone,may,tue,nonexistent,128,1,999,0,0
telephone,may,tue,nonexistent,166,2,999,0,0
telephone,may,tue,nonexistent,211,1,999,0,0
telephone,may,tue,nonexistent,369,1,999,0,0
telephone,may,tue,nonexistent,91,1,999,0,0
telephone,may,tue,nonexistent,267,2,999,0,0
telephone,may,tue,nonexistent,198,1,999,0,0
telephone,may,tue,nonexistent,371,2,999,0,0
telephone,may,tue,nonexistent,288,2,999,0,0
telephone,may,tue,nonexistent,221,1,999,0,0
telephone,may,tue,nonexistent,427,1,999,0,0
telephone,may,tue,nonexistent,310,1,999,0,0
telephone,may,tue,nonexistent,158,1,999,0,0
telephone,may,tue,nonexistent,198,1,999,0,0
telephone,may,tue,nonexistent,145,1,999,0,0
telephone,may,tue,nonexistent,247,1,999,0,0
telephone,may,tue,nonexistent,102,1,999,0,0
telephone,may,tue,nonexistent,179,2,999,0,0
telephone,may,tue,nonexistent,73,1,999,0,0
telephone,may,tue,nonexistent,263,2,999,0,0
telephone,may,tue,nonexistent,342,2,999,0,0
telephone,may,tue,nonexistent,41,1,999,0,0
telephone,may,tue,nonexistent,13,1,999,0,0
telephone,may,tue,nonexistent,79,2,999,0,0
telephone,may,tue,nonexistent,358,1,999,0,0
telephone,may,tue,nonexistent,162,1,999,0,0
telephone,may,tue,nonexistent,150,1,999,0,0
telephone,may,tue,nonexistent,26,1,999,0,0
telephone,may,tue,nonexistent,250,1,999,0,0
telephone,may,tue,nonexistent,792,1,999,0,0
telephone,may,tue,nonexistent,146,1,999,0,0
telephone,may,tue,nonexistent,440,1,999,0,0
telephone,may,tue,nonexistent,289,1,999,0,0
telephone,may,tue,nonexistent,242,2,999,0,0
telephone,may,tue,nonexistent,123,1,999,0,0
telephone,may,tue,nonexistent,161,2,999,0,0
telephone,may,tue,nonexistent,268,2,999,0,0
telephone,may,tue,nonexistent,259,2,999,0,0
telephone,may,tue,nonexistent,26,1,999,0,0
telephone,may,tue,nonexistent,153,1,999,0,0
telephone,may,tue,nonexistent,424,2,999,0,0
telephone,may,tue,nonexistent,375,1,999,0,0
telephone,may,tue,nonexistent,179,2,999,0,0
telephone,may,tue,nonexistent,383,1,999,0,0
telephone,may,tue,nonexistent,440,1,999,0,0
telephone,may,tue,nonexistent,195,1,999,0,0
telephone,may,tue,nonexistent,1297,3,999,0,1
